,sepal length,sepal width,class
0,5.1,3.5,Iris-setosa
1,4.9,3.0,Iris-setosa
2,4.7,3.2,Iris-setosa
3,4.6,3.1,Iris-setosa
4,5.0,3.6,Iris-setosa
5,5.4,3.9,Iris-setosa
6,4.6,3.4,Iris-setosa
7,5.0,3.4,Iris-setosa
8,4.4,2.9,Iris-setosa
9,4.9,3.1,Iris-setosa
10,5.4,3.7,Iris-setosa
11,4.8,3.4,Iris-setosa
12,4.8,3.0,Iris-setosa
13,4.3,3.0,Iris-setosa
14,5.8,4.0,Iris-setosa
15,5.7,4.4,Iris-setosa
16,5.4,3.9,Iris-setosa
17,5.1,3.5,Iris-setosa
18,5.7,3.8,Iris-setosa
19,5.1,3.8,Iris-setosa
20,5.4,3.4,Iris-setosa
21,5.1,3.7,Iris-setosa
22,4.6,3.6,Iris-setosa
23,5.1,3.3,Iris-setosa
24,4.8,3.4,Iris-setosa
25,5.0,3.0,Iris-setosa
26,5.0,3.4,Iris-setosa
27,5.2,3.5,Iris-setosa
28,5.2,3.4,Iris-setosa
29,4.7,3.2,Iris-setosa
30,4.8,3.1,Iris-setosa
31,5.4,3.4,Iris-setosa
32,5.2,4.1,Iris-setosa
33,5.5,4.2,Iris-setosa
34,4.9,3.1,Iris-setosa
35,5.0,3.2,Iris-setosa
36,5.5,3.5,Iris-setosa
37,4.9,3.1,Iris-setosa
38,4.4,3.0,Iris-setosa
39,5.1,3.4,Iris-setosa
40,5.0,3.5,Iris-setosa
42,4.4,3.2,Iris-setosa
43,5.0,3.5,Iris-setosa
44,5.1,3.8,Iris-setosa
45,4.8,3.0,Iris-setosa
46,5.1,3.8,Iris-setosa
47,4.6,3.2,Iris-setosa
48,5.3,3.7,Iris-setosa
49,5.0,3.3,Iris-setosa
50,6.3,3.3,Iris-virginica
51,5.8,2.7,Iris-virginica
52,7.1,3.0,Iris-virginica
53,6.3,2.9,Iris-virginica
54,6.5,3.0,Iris-virginica
55,7.6,3.0,Iris-virginica
57,7.3,2.9,Iris-virginica
58,6.7,2.5,Iris-virginica
59,7.2,3.6,Iris-virginica
60,6.5,3.2,Iris-virginica
61,6.4,2.7,Iris-virginica
62,6.8,3.0,Iris-virginica
63,5.7,2.5,Iris-virginica
64,5.8,2.8,Iris-virginica
65,6.4,3.2,Iris-virginica
66,6.5,3.0,Iris-virginica
67,7.7,3.8,Iris-virginica
68,7.7,2.6,Iris-virginica
69,6.0,2.2,Iris-virginica
70,6.9,3.2,Iris-virginica
71,5.6,2.8,Iris-virginica
72,7.7,2.8,Iris-virginica
73,6.3,2.7,Iris-virginica
74,6.7,3.3,Iris-virginica
75,7.2,3.2,Iris-virginica
76,6.2,2.8,Iris-virginica
77,6.1,3.0,Iris-virginica
78,6.4,2.8,Iris-virginica
79,7.2,3.0,Iris-virginica
80,7.4,2.8,Iris-virginica
81,7.9,3.8,Iris-virginica
82,6.4,2.8,Iris-virginica
83,6.3,2.8,Iris-virginica
84,6.1,2.6,Iris-virginica
85,7.7,3.0,Iris-virginica
86,6.3,3.4,Iris-virginica
87,6.4,3.1,Iris-virginica
88,6.0,3.0,Iris-virginica
89,6.9,3.1,Iris-virginica
90,6.7,3.1,Iris-virginica
91,6.9,3.1,Iris-virginica
92,5.8,2.7,Iris-virginica
93,6.8,3.2,Iris-virginica
94,6.7,3.3,Iris-virginica
95,6.7,3.0,Iris-virginica
96,6.3,2.5,Iris-virginica
97,6.5,3.0,Iris-virginica
98,6.2,3.4,Iris-virginica
99,5.9,3.0,Iris-virginica
